Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
NGC 4026,"2.1
1.8","15.6
13.4","0.14
0.13",11 59 25.2,+ 50 57 42,"5
1875","<0.00012
0.1","[19];
[5]
[38];
[3]"
"SDSS
J115954.33
+201921.1",141,1522 (z),0.09,11 59 54.33,+ 20 19 21.1,325000,0.0006,[47]
Mrk 1310,0.02,84,0.0004,12 01 14.3,- 03 40 41,5,<0.007,[3]
NGC 4036,0.78,19,0.04,12 01 26.7,+ 61 53 45,"15
1800","<0.002
2",[3]
NGC 4041,"<0.064
<0.01","20.9
20","<0.003
<0.0005",12 02 12.2,+ 62 08 14,"5
1765","0.038
21","[19]
[3]"
NGC 4051,"0.002
0.003
0.01","10
10
10","0.0002
0.0003
0.001",12 03 09.6,+ 44 31 53,"20
3000","0.007
24","[33]
[8];
[11]
[3]"
NGC 4088,<0.06,12,<0.005,12 05 34.2,+ 50 32 21,"8.5
230
1800","0.004
<1
33",[3]
UGC 07115,10,88,0.11,12 08 05.5,+ 25 14 14,"8.4
100
350","0.05
0.031
0.051",[3]
NGC 4143,"<1.4
0.83","16.8
15","<0.08
0.06",12 09 36.0,+ 42 32 03,"15
96","0.003-0.006
0.007","[19]
[3]"
NGC 4151,"0.65
0.1",20,"0.03
0.005",12 10 32.6,+ 39 24 21,"20
100
1800","0.04
0.014
3","[38];
[3]
[33]"
NGC 4150,<0.009,13,<0.0007,12 10 33.6,+ 30 24 06,"15
1900","<0.001
1.7",[3]
QSO 1210+330,10,1662 (z),0.006,12 13 03.8,+32 47 37,8.4,0.06-0.1,[16]
"PG
1211+143","1.5
0.4","315 (z)
315","0.005
0.001",12 14 17.7,+ 14 03 13,1500,<0.4,[33]
NGC 4203,"<0.38
0.66","16
14","<0.02
0.003",12 15 05.0,+ 33 11 50,"22
43
96
1900","0.009
0.01
0.015
2.7","[19]
[3]"
"NGC 4212
NGC 4208",<0.01,3.2,<0.003,12 15 39.3,+ 13 54 05,"11
3000","0.004
17",[3]
NGC 4244,<0.005 (0),4.4,<0.001,12 17 29.6,+ 37 48 26,"1.4
1800","0.02
4.8",[3]
NGC 4245,<0.15,15,<0.01,12 17 36.8,+ 29 36 29,"2.3
3000","0
2.4",[3]
Mrk 0202,0.01,90,0.0001,12 17 55.0,+ 58 39 35,138000,0.01,[3]
NGC 4253,0.06,55,0.001,12 18 26.5,+ 29 48 46,"20
3000","0.005
47",[3]
"NGC 4258
M 106","0.38
0.38","7.2
7.3","0.05
0.05",12 18 57.620,+ 47 18 13.39,"15
100
350","0.002-0.003
0.01
3.4","[19];
[5]
[38];
[3]"
NGC 4261,"5.5
5.3","33.4
32.4","0.16
0.16",12 19 23.22,+ 05 49 29.69,"23
41
94-100
350","2.4-2.8
1.9-2.0
1.5-0.3
0.18","[19];
[5]
[38];
[3]"
NGC 4278,0.91,15,0.06,12 20 06.8,+ 29 16 51,"15
43
100
220
350
670","0.077-0.090
0.018
0.216
0.050
0.050
<0.054",[3]
NGC 4291,"3.2
9.2
9.8","25
25
26.6","0.13
0.36
0.36",12 20 18.2,+ 75 22 15,"1.4
1700","0.0005
<0.36","[19]
[5]
[38];
[3]"
"NGC 4303
M 61",0.03,15.5,0.002,12 21 54.9,+ 04 28 25,"23
359
670","1
0.7
4.6",[3]
NGC 4314,<0.08,16,<0.005,12 22 31.8,+ 29 53 45,"15
3000","<0.001
7.1",[3]
"NGC 4321
M 100","<0.27
<0.05","18
14","<0.02
<0.004",12 22 54.8,+ 15 49 19,"15
230
350
600
857","<0.0009
<1
0.88
11
28","[19]
[3]"
NGC 4335,2.5,59,0.04,12 23 01.9,+ 58 26 40,"8.4
3000","0.028
1",[3]
Mrk 0050,0.25,103,0.02,12 23 24.1,+ 02 40 45,28300,0.024,[3]
NGC 4342,"3.6
4.5
4.6","18.0
22.9
22.9","0.20
0.19
0.19",12 23 39.024,+ 07 03 14.17,"2.4
3000","0.004
<0.018","[19];
[5]
[38]
[3]"
NGC 4350,3.8,17,0.22,12 23 57.8,+ 16 41 36,"15
1800","<0.0009
0.83",[3]
NGC 4371,0.07,16.9,0.004,12 24 55.4,+ 11 42 15,"8.4
1900","0.00007
0.014","[38];
[3]"
"NGC 4374
M 84","15
8.5
9.2
9.3","17.0
17.0
18.5
18.5","0.87
0.49
0.49
0.50",12 25 03.74,+ 12 53 13.14,"15
43
95-100
350
670","0.16-1.3
0.1
0.14-0.17
0.15
0.12","[19]
[5]
[38]
[3]"
"NGC 4382
M 85",<0.13,18,<0.007,12 25 24.1,+ 18 11 29,"8.4
1900","0.0001
0.024",[3]
NGC 4388,"0.088
0.07","19.8
16.5","0.004
0.004",12 25 46.7,+ 12 39 44,"15
350
350","0.004
0.23-0.29
0.23-0.29","[5]
[38];
[3]"
NGC 4395,0.003,4.4,0.0007,12 25 48.8,+ 33 32 49,"15
1900","<0.0009
27",[3]
NGC 4429,0.71,18,0.04,12 27 26.5,+ 11 06 28,"15
1800","<0.001
3.1-6.3",[3]
NGC 4435,"<0.08
<0.02 (0)","17
17","<0.005
<0.001",12 27 40.5,+ 13 04 44,"15
1800","<0.001
7","[19]
[3]"
"NGC 4438
Virgo eyes",0.65,11.6,0.06,12 27 45.6,+ 13 00 31,"15
1765","¡0.001
16",[18]
NGC 4450,"<1.2
<1.1","18
28","<0.07
<0.04",12 28 29.6,+ 17 05 06,"15
1765","0.003-0.005
10","[19]
[3]"
NGC 4459,"0.74
0.7","17.0
16.0","0.04
0.04",12 29 00.0,+ 13 58 42,"15
1900","<0.001
3.1","[19];
[5]
[38];
[3]"
"3C 273
PG 1226+023","5.5
6.5","563
678","0.01
0.01",12 29 06.7,+ 02 32 08.6,"22
54
100
230
300","20-43
8
9-12
6-11
10","[31];
[33]
[3]"
"NGC 4472
M 49",25,17.1,1.44,12 29 46.7,+ 08 00 02,"15
96
1667","0.004
0.15
<0.09","[38];
[3]"
NGC 4473,"1.3
1.0
0.9","17.0
17.0
15","0.08
0.06
0.06",12 29 48.9,+ 13 25 46,"8.4
1500","0.0013
<0.34","[19]
[5]
[38];
[3]"
NGC 4477,"<0.84
0.35","18
21","<0.05
0.02",12 30 02.2,+ 13 38 12,"15
1765","<0.001
1.1","[19]
[3]"
NGC 4486 b,"4
<1.1","16.6
17","0.24
<0.06",12 30 32.0,+ 12 29 25,"8.4
3000
3000","0.0002
<0.116
<0.116","[38];
[3]
[19]"
"NGC 4486
M 87","36
63
62","17
17
16.7","2.09
3.66
3.67",12 30 49.42,+ 12 23 28.0,"22-23
41
94-100
300
600
860","0.5-21
3.6-13.5
0.5-5.3
1.3
1.4
1","[19]
[5]
[38];
[3]"
NGC 4486 a,"0.13
0.13","17
16","0.008
0.008",12 30 57.7,+ 12 16 13,"8.4
3000","0.00017
0.26","[19];
[5]
[38];
[3]"
"NGC 4501
M 88","0.2
<0.79","16.5
18","0.01
<0.04",12 31 59.1,+ 14 25 13,"15
230
350
667","<0.001
<1
0.96
6.4","[38]
[3]
[19]"
"Mrk 771
PG 1229+204","0.7
0.52","250
270","0.03
0.02",12 32 03.6,+ 20 09 26,"5
1500","<0.005
<0.4","[33]
[3]"
NGC 4526,4.5,16.4,0.27,12 34 03.1,+ 07 41 58,"8.6
1900","0.006
13.7","[38];
[3]"
"NGC 4548
M 91","<0.34
0.18","20.3
18","<0.02
0.01",12 35 26.4,+ 14 29 47,"15
3000","0.001
9","[19]
[3]"
NGC 4507,0.15,47,0.003,12 35 36.6,- 39 54 33,"1.4
3000","0.067
5.4-6.3",[3]
"NGC 4552
M 89",5,15.3,0.32,12 35 39.8,+ 12 33 23,"15
32
96
350","0.06-0.08
0.09
0.012
<0.026","[38];
[3]"
NGC 4564,"0.7
0.9
0.9","17.0
17.0
15.9","0.04
0.05
0.06",12 36 27.0,+ 11 26 21,"8.4
1500","0.00009
<0.42","[19]
[5]
[38];
[3]"
"NGC 4579
M 58",<0.9,23,<0.03,12 37 43.5,11 49 05,"22
43
96
230
350","0.011
0.015
0.027
0.011
0.15",[3]
"NGC 4593
Mrk 1330","0.05
0.07","38
39","0.001
0.002",12 39 39.4,- 05 20 39.3,"5
1500","0.0008
4.7","[33]
[3]"
NGC 4596,"0.84
0.77","18.0
16.5","0.05
0.05",12 39 55.9,+ 10 10 34,"15
1900","<0.001
2.7","[19];
[5]
[38];
[3]"
"NGC 4594
M 104
Sombrero","5.7
5.3
6.7
6.6","10.3
10.3
9.9
9.9","0.55
0.51
0.67
0.66",12 39 59.43,-11 37 23.0,"20
250
350
600
850","0.08
0.19-0.44
0.24-0.92
5.6
12.1","[19]
[5]
[38]
[3]"
IC 3639,0.1,45,0.002,12 40 52.8,- 36 45 21,"1.4
1500","0.07-0.008
3.6",[3]
NGC 4621,4,18.3,0.22,12 42 02.2,+ 11 38 49,"8.4
1500","0.0001
<0.38","[38];
[3]"
"RX
J1242.6
-1119A",1,202 (z),0.005,12 42 38.5,-11 19 19,692000,0.0004,[23]
NGC 4636,3.8,14,0.27,12 42 49.8,+ 02 41 16,"15
1700","0.002
0.79",[3]
M60UCD1,0.20,17,0.01,12 43 35.964,+ 11 33 09.40,,HST,[3]
"NGC 4649
M 60","21
47","16.5
16.5","1.23
2.81",12 43 40.4,+ 11 33 10,"10.5
1700","0.018
<0.1","[19]
[5];
[38];
[3]"
NGC 4698,"<0.76
0.58","18
16","<0.04
0.04",12 48 22.9,+ 08 29 15,"15
1875","<0.001
3.8","[19]
[3]"
NGC 4697,"2
2","12.4
12.5","0.16
0.16",12 48 35.9,- 05 48 03,"8.5
96
350","0.00009
<0.007
<0.018","[19];
[5]
[38];
[3]"
NGC 4699,1.8,18.9,0.09,12 49 02.2,- 08 39 53,"1.4
1765","<0.3
21.5","[38];
[3]"
"NGC 4736
M 94","0.07
0.07
0.06","4.9
5
4.5","0.01
0.01
0.01",12 50 53.0,+ 41 07 14,"15
230
300
350
600
850","0.002
2.4
4.2
1.5
11.8
28","[5]
[38]
[3]"
NGC 4742,0.13,16,0.008,12 51 48.0,- 10 27 17,"5
96
3000","<0.005
<0.016
1.2",[3]
NGC 4748,0.02,63,0.0003,12 52 12.4,- 13 24 53,"5
3000","0.006
2.22",[3]
NGC 4751,14,27,0.51,12 52 50.8,- 42 39 36,3000,3.6-4,"[38];
[3]"
NGC 4800,"<0.21
<0.10","16
13","<0.01
<0.008",12 54 37.8,+ 46 31 52,"1.4
3000","0.022
14",[3]
"NGC 4826
M 64","0.014
0.016
0.011","6.4
7.3
5.2","0.002
0.002
0.002",12 56 43.6,+ 21 40 59,"15
230
350
600
850","<0.001
<1
1.23
6.3
16.4","[5]
[38]
[3]"
NGC 4889,"210
209","103
102","2.01
2.02",13 00 08.13,+ 27 58 37.2,"2.4
3000","0.001
<0.069","[5]
[38];
[3]"
NGC 4945,0.02,3.7,0.005,13 05 27.5,- 49 28 06,"20-22
41
94
220
350","0.73-1.5
0.8
1.0
2.8
16",[3]
"PG
1307+085","4.4
3.1","554
664","0.008
0.006",13 09 47,+ 08 19 48,"230
1700","<0.001
<0.174","[33]
[3]"
NGC 5005,1.9,15,0.13,13 10 56.2,+ 37 03 33,"15
230
3000","<0.001
<1.0
54-63",[3]
NGC 5018,1,40.6,0.02,13 13 01.0,- 19 31 05,"5
1765","0.003
5","[38];
[3]"
NGC 5055,8.3,8.7,0.94,13 15 49.3,+ 42 01 45,"15
300
600
850","<0.001
1.3
2.6
64",[3]
NGC 5077,"8.0
8.6","44.9
38.7","0.18
0.22",13 19 31.670,- 12 39 25.08,"20
96
1900","0.15
0.66
0.14","[19];
[5]
[38];
[3]"
NGC 5127,1.9,63,0.03,13 23 45.0,+ 31 33 57,"5
100","0.54
0.026",[3]
"NGC 5128
Cen A","3
0.7
0.57","4.4
4.4
3.62","0.67
0.16
0.16",13 25 27.61,- 43 10 08.8,"22
41
90-93
230-240
350","3-112
32-72
41
5.8-6
18","[19];
[5]
[38];
[3]"
"NGC 5194
M 051 A",<0.009,7.9,<0.001,13 29 52.7,+ 47 11 43,"28
38
230
350","0.007
0.004
0.15-2.6
2.6",[3]
"A 3565
-BCG","13
5.2
14
13","54
54.4
54.4
49.2","0.24
0.09
0.25
0.26",13 36 38.8,- 33 57 30,,"in NED
absent","[2]
[19]
[5]
[3]"
IC 4296,13.0,49.2,0.26,13 36 39.053,- 33 57 57.3,"22
41
94
1900","0.3-1.9
0.7-1.2
0.7-0.8
0.07","[38];
[3]"
NGC 5248,0.02,18,0.001,13 37 32.0,+ 08 53 07,"5
3000","0.11
45-53",[3]
NGC 5252,12,104,0.11,13 38 15.9,+ 04 32 33,20,0.008,[3]
NGC 5283,0.26,35,0.007,13 41 05.7,+ 67 40 20,"20
96
3000","<0.004
<0.008
0.75",[3]
NGC 5273,0.04,16,0.003,13 42 08.3,+ 35 39 15,"20
1900","<0.002
0.84",[3]
IC 4329 A,<0.1,67 (z),<0.001,13 49 19.2,- 30 18 34,"1.4
1500","0.067
1.2",[33]
NGC 5328,47,64.1,0.72,13 52 53.3,- 28 29 22,"5
3000","<0.0009
<0.07","[38];
[3]"
Mrk 0279,"0.3
0.25","124
130","0.002
0.002",13 53 03.4,+ 69 18 30,"20
3000","<0.003
2.2","[33]
[3]"
PG 1351+640,0.5,340,0.001,13 53 15.8,+ 63 45 45.4,"40
90
230","<0.2
0.08
<0.26",[21]
NGC 5347,0.16,32.3,0.005,13 53 17.8,+ 33 29 27,"5
3000","0.0005-0.003
2.6",[3]
"A 1836
-BCG","48
39
37","155
157.5
152.4","0.31
0.24
0.24",14 01 40.58,- 11 36 27.3,,"in NED
absent","[2]
[19];
[5]
[38];
[3]"
"NGC 5457
M 101",<0.03,7.0,<0.004,14 03 12.5,+ 64 20 56,"6.7
600
850","0.004
45
97",[3]
NGC 5427,<0.38,36,<0.01,14 03 26.0,- 06 01 51,"1.5
350","0.063
0.26",[3]
NGC 5419,72,56.2,1.27,14 03 38.7,- 33 58 42,"5
1900","0.09-0.12
<0.021","[38];
[3]"
NGC 5490,5.3,65,0.08,14 09 57.3,+ 17 32 44,"11
100
3000","0.17
0.089
<0.19",[3]
NGC 5495,0.10,126,0.0008,14 12 23.3,- 27 06 29,"1.4
3000","0.013
3.5",[3]
Circinus,"0.017
0.011","4
2.8
8","0.004
0.004",14 13 09.9,- 65 20 21,"20
1765","0.097
230","[19];
[5]
[38];
[3]
NED"
"PG
1411+442","4.4
3.2","343 (z)
384","0.01
0.009",14 13 48.3,+ 44 00 14,"230
1765","<0.002
<0.129","[33]
[3]"
NGC 5516,33,58.4,0.56,14 15 54.7,- 48 06 53,0.8,0.0002,"[38];
[3]"
NGC 5548,"0.7
0.5","72
74","0.01
0.007",14 17 59.5,+ 25 08 12,"20
3000","0.004
1.6","[33]
[3]"
NGC 5576,"1.8
2.7","27.1
25.7","0.07
0.10",14 21 03.7,+ 03 16 16,"2.3
1900","0
<0.02","[19];
[5]
[38];
[3]"
"Mrk 1383
PG
1426+015","13
9.1","336
371","0.04
0.03",14 29 06.555,+ 01 17 06.46,"15
1500","0.001
0.2","[33]
[3]"
NGC 5643,<0.11,17,<0.006,14 32 40.7,- 44 10 28,"8.4
1800","0.012
34-71",[3]
"Mrk 817
UGC
09412","0.5
0.4","128
134","0.004
0.003",14 36 22.1,+ 58 47 39,"20
40
90
230","<0.003
<0.184
<0.075
<0.25","[33]
[3]"
NGC 5695,1.0,55,0.02,14 37 22.1,+ 36 34 04,"20
3000","<0.002
1.8",[3]
NGC 5728,1.1,38,0.03,14 42 23.9,- 17 15 11,"1.4
3000","0.071
15",[3]
NGC 5765 b,0.46,113,0.004,14 50 51.5,+ 05 06 52,1.4,0.023,[3]
NGC 5813,7.1,32.2,0.22,15 01 11.2,+ 01 42 07,"15
95
1500","0.002
<0.008
<0.21","[38];
[3]"
"SDSS
J150243.09
+111557.3",1.1,1091 (z),0.001,15 02 43.09,+ 11 15 57.3,"1.4
14000","0.011
0.019","[13];
[7]
dbl.gal."
NGC 5845,"2.9
5.4
4.9","28.7
28.7
25.87","0.10
0.19
0.19",15 06 00.8,+ 01 38 01.8,"2.4
1900","0
0.15-0.17","[19]
[5]
[38];
[3]"
NGC 5846,11,24.9,0.44,15 06 29.3,+ 01 36 20,"15
95
1900","0.006
0.009
0.1-0.2","[38];
[3]"
NGC 5879,<0.04,11,<0.004,15 09 46.7,+ 57 00 01,"15
3000","<0.001
9.2",[3]
"A 2052-BCG
UGC 09799",<7.8,151,<0.05,15 16 44.5,+ 07 01 18,"22.5
3000","0.39
<0.3",[3]
"AP Lib
PKS
1514-24",1.3,213 (z),0.006,15 17 41.81,- 24 22 19.5,"22
41
90
230
375","2.4
2-2.2
1.6
0.8-1.2
0.7-1.1",[4]
NGC 5921,<0.12,21,<0.006,15 21 56.5,+ 05 04 14,"15
3000","<0.001
10",[3]
"RX J1532.9
+3021",100,1009.4 (z),0.10,15 32 53.8,+ 30 20 58,3×108,2×10−6,[20]
NGC 6086,"38
37","139
138","0.27
0.26",16 12 35.5,+ 29 29 05,"22.5
43
3000","0.003
<0.002
<0.19","[5]
[38];
[3]"
"Mrk 0876
PG 1613+658","2.8
1.9","475 (z)
553","0.006
0.004",16 13 57.2,+ 65 43 10,"40
230","<0.237
0.002","[33]
[3]"
"Mrk 0877
PG 1617
+175","5.9
4.3","420 (z)
481","0.01
0.01",16 20 11.3,+ 17 24 28,"4.8
3000","<0.004
0.04-0.5","[33]
[3]"
NGC 6166,10,142,0.07,16 28 38.276,+ 39 33 04.97,"15
43
350","0.020
0.023
0.07",[28]
NGC 6251,"6
6.1","106
108","0.06
0.06",16 32 32.0,+ 82 32 16,"23
41
94-112","1.2-1.4
1-1.4
0.4-0.9","[19];
[5]
[38];
[3]"
"Her A
3C 348","1.1
20","643
643","0.002
0.03",16 51 08.15,+ 04 59 33.32,"23
41
94","1.1-1.9
0.9-1.2
0.2","[45]
[6]"
NGC 6240 S,15,105,0.14,16 52 58.9,+ 02 24 03,"8.5
108
230
340
660
850","0.115
0.011
0.006
0.033
1
1.1-2.5",[3]
Mrk 501,"9
34","140
140",0.07,16 53 52.21,+ 39 45 37.6,"94
230
375","0.37-0.6
0.32
0.22",[36]
NGC 6264,"0.3
0.3","145.4
147.6","0.002
0.002",16 57 16.1,+ 27 50 59,138000,0.016,"[5]
[38];
[3]"
"PG
1700+518","7.8
5.8","902 (z)
1251","0.009
0.006",17 01 24.8,+ 51 49 20,"15
40
90
230
350
1500","0.002
<0.2
<0.075
<0.16
<0.01
0.14","[33]
[3]"
PG 1704+608,0.4,1059,0.0004,17 04 41.37,+ 60 44 30.5,"230
1500","0.007
0.43",[21]
NGC 6323,"0.098
0.1","110.5
113.4","0.0009
0.0009",17 13 18.1,+ 43 46 57,"1.4
3000","0.003
0.9","[5]
[38];
[3]"
NGC 6300,<0.14,14,<0.01,17 16 59.5,- 62 49 14,"5
3000","0.06
36-42",[3]
"SDSS
J173352.23
+540030.4",34,1521(z),0.02,17 33 52.23,+ 54 00 30.4,1.4,0.007,[47]
Srg A*,"0.041
0.0431","0.008
0.00833","5.06
5.11",17 45 40.02,- 29 00 28.17,"43
100
240
340","1.3-1.9
2.1-2.4
2.8-4.1
3","[19];
[5]
[38];
[3]"
NGC 6503,<0.02,5.3,<0.004,17 49 26.4,+ 70 08 40,"15
1800","<0.001
43-47",[3]
NGC 6500,2.2,37,0.06,17 55 59.8,+ 18 20 18,"15
96
1800","0.085
0.048
3",[3]
"H1821
+643",300,912 (z),0.32,18 21 57.3,+ 64 20 36,"93
1800","0.01
1",[43]
"3C 382
CGCG 173-014",9.6,231,0.04,18 35 03.4,+ 32 41 47,"41
94
3000","0.7
0.1
<0.3",[11]
3C 390.3,"2.9
4.2","225
240","0.01
0.02",18 42 09.0,+ 79 46 17,"23
41
94","1.2-1.4
0.7-1
0.3","[33]
[3]"
"1RXS J
185800.9
+485020","0.08
0.05","304
338","0.0003
0.0001",18 58 01.111,+ 48 50 23.4,,"in NED
absent","[32]
[3]"
"KIC
006932990
Zw 229-015",0.08,119,0.0007,19 05 25.9,+ 42 27 40,138000,0.013,[3]
NGC 6814,0.10,22,0.005,19 42 40.6,- 10 19 25,"1.5
3000","0.012
19-20",[3]
"Cygnus A
3C 405","25
27","224
257","0.11
0.10",19 59 28.4,+ 40 44 02.1,"15
86
230
375","1.5-1.7
1
0.5
0.6","[6]
[19];
[3]"
NGC 6861,20,27.3,0.72,20 07 19.5,- 48 22 13,"0.8
3000","0.015
3-3.5","[38];
[3]"
NGC 6951,<0.09,16,<0.006,20 37 14.1,+ 66 06 20,"15
1800","<0.001
29",[3]
Mrk 0509,"1.4
1","141
147","0.01
0.007",20 44 09.7,- 10 43 25,"40
90","<0.25
<0.1","[33]
[3]"
NGC 7052,"4.0
4","70.9
70.4","0.06
0.06",21 18 33.047,+ 26 26 48.065,"8.4
100
300
3000","0.044
0.085
0.019
1.2-1.5","[19];
[5]
[38];
[3]"
"PKS 2126
-158",100,1546,0.06,21 29 12.2,- 15 38 41,"20-24
41-43
90-94
230
312","1.07-0.84
0.6-0.5
0.3-0.5
0.08
<0.8",[16]
"SDSS
J213023.61
+122252.0",10,1546 (z),0.006,21 30 23.61,+ 12 22 52.0,,"in NED
absent",[47]
"UGC
11763
II Zwicky
136
PG 2130+099
Mrk 1513","4.6
0.26","250 (z)
270","0.02
0.001",21 32 27.8,+ 10 08 19,"15
40
230
1500","0.001
<0.258
<0.681
0.2","[33]
[3]"
"QSO
B2149-306",50,1686 (z),0.03,21 51 55.65,- 30 27 54,"20-23
41
95","1.8-1.5
1.2-1.4
0.6-0.8",[16]
"PSO
O334.2028
+01.4075",100,1720 (z),0.06,22 16 48.6,+ 01 24 27,,"in NED
absent","[27], dbl. BH.
orb. per.
542 days"
UGC 12064,6.9,35,0.19,22 31 20.6,+ 39 21 29,8.4,0.041,[3]
NGC 7331,1.0,12,0.08,22 37 04.0,+ 34 24 56,"15
350
600
660
850","<0.001
2.1
17
21
41",[3]
NGC 7332,0.12,22,0.005,22 37 24.5,+ 23 47 54,2.4,0.004,[3]
"SDSS
J224956.08
+000218.0",17,1540 (z),0.01,22 49 56.08,+ 00 02 18.0,325000,0.0002,[47]
"LQAC
342+022.001",10,1484 (z),0.007,22 51 53.5,+ 22 17 37,8.4,0.086,[24]
NGC 7418,<0.002,18,<0.0001,22 56 36.1,- 37 01 48,"0.8
1800","0.03-0.05
23",[3]
IC 1459,"28
25","30.9
28.9","0.89
0.85",22 57 10.61,- 36 27 44.0,"20
95
1800","0.55
0.26
1.1-2.4","[19];
[5]
[38];
[3]"
NGC 7424,<0.002,11,<0.0002,22 57 18.4,- 41 04 14,3000,7.8,[3]
NGC 7457,"0.041
0.1
0.9","14.0
14.0
12.5","0.003
0.007
0.07",23 00 59.9,+ 30 08 42,"2.3
1900","0.003
<0.023","[19]
[5]
[38];
[3]"
"SDSS
J230301.45
-093930.7",91,1511 (z),0.06,23 03 01.45,- 09 39 30.7,325000,0.0004,[47]
NGC 7469,"0.1
0.09","67
48","0.001
0.002",23 03 15.6,+ 08 52 26,"22
240
350
850","0.018
<0.033
0.19
2.2","[33]
[3]"
NGC 7582,0.55,22.3,0.025,23 18 23.5,- 42 22 14,"8.4
1800","0.042
61","[19];
[5];
[3]"
IC 1481,0.14,90,0.002,23 19 25.1,+ 05 54 22,"5
3000","0.001
1.5",[3]
NGC 7619,25,51.5,0.48,23 20 14.5,+ 08 12 22,"2.3
1900","0.022
<0.023","[38];
[3]"
NGC 7626,3.8,38,0.1,23 20 42.5,+ 08 13 01,"15
1900","0.04
<0.025",[3]
NGC 7674,0.01-10,116,0.0001-0.1,23 27 56.7,+ 08 46 45,"22
350","0.017
0.1",[22]
NGC 7682,0.36,59,0.006,23 29 03.9,+ 03 32 00,20,0.006,[3]
"SPT-CL
J2344-4243",200,1374,0.15,23 44 42.2,- 42 43 08,1000,0.02,[9]
"SDSS
J234625.66
-001600.4",3.9,1509 (z),0.002,23 46 25.66,- 00 16 00.4,136000,0.0004,[47]
NGC 7768,13.4,116,0.11,23 50 58.6,+ 27 08 51,"5
3000","0.001
<0.087","[38];
[3]"
NGC 7793,<0.00005,3.3,0.00002,23 57 49.8,- 32 35 28,"1.5
600
850","0.01-0.1
14
28",[3]
